"","Div","Date","HomeAway","Equipo","FTR","FTHG","FTAG","PSCH","PSCD","PSCA","Ret","Fee","PSCH_adj","PSCD_adj","PSCA_adj","PH","PD","PA"
"494","SP2",2023-10-29,"AwayTeam","Villarreal B","H",1,0,1.8,3.67,4.96,0.971205672077114,0.0287943279228864,1.85336644106531,3.7788082437276,5.10705419315774,0.539558706709508,0.264633698113655,0.195807595176837
"495","SP2",2023-10-29,"HomeTeam","Mirandes","H",2,1,2.26,3.24,3.61,0.972641385857367,0.0273586141426333,2.32356964536097,3.33113524379183,3.71154266360756,0.430372294627153,0.300197958597953,0.269429746774894
"496","SP2",2023-10-29,"AwayTeam","Cartagena","H",2,1,2.26,3.24,3.61,0.972641385857367,0.0273586141426333,2.32356964536097,3.33113524379183,3.71154266360756,0.430372294627153,0.300197958597953,0.269429746774894
"497","SP2",2023-10-29,"HomeTeam","Oviedo","H",2,0,1.83,3.3,5.59,0.972413346122936,0.0275866538770643,1.88191575865994,3.39361858119006,5.74858420268256,0.531373413181932,0.294670710946344,0.173955875871724
"498","SP2",2023-10-29,"AwayTeam","Alcorcon","H",2,0,1.83,3.3,5.59,0.972413346122936,0.0275866538770643,1.88191575865994,3.39361858119006,5.74858420268256,0.531373413181932,0.294670710946344,0.173955875871724
"499","SP2",2023-10-29,"HomeTeam","Santander","A",1,3,2.18,3.19,3.92,0.973428079672625,0.0265719203273748,2.2395080289169,3.27707826249766,4.02700526300653,0.446526642051663,0.305149868235933,0.248323489712404
"500","SP2",2023-10-29,"AwayTeam","Ferrol","A",1,3,2.18,3.19,3.92,0.973428079672625,0.0265719203273748,2.2395080289169,3.27707826249766,4.02700526300653,0.446526642051663,0.305149868235933,0.248323489712404
"501","SP1",2023-10-30,"HomeTeam","Granada","A",2,3,2.99,3.64,2.39,0.973156947619279,0.0268430523807207,3.07247459653317,3.74040385664908,2.45592451027234,0.325470551043237,0.267350809785516,0.407178639171247
"502","SP1",2023-10-30,"AwayTeam","Villarreal","A",2,3,2.99,3.64,2.39,0.973156947619279,0.0268430523807207,3.07247459653317,3.74040385664908,2.45592451027234,0.325470551043237,0.267350809785516,0.407178639171247
"503","SP2",2023-10-30,"HomeTeam","Burgos","D",1,1,2.44,2.84,3.76,0.972851424816297,0.0271485751837027,2.50809109979023,2.91925357516568,3.86492726852921,0.398709600334548,0.342553318597288,0.258737081068164
"504","SP2",2023-10-30,"AwayTeam","Zaragoza","D",1,1,2.44,2.84,3.76,0.972851424816297,0.0271485751837027,2.50809109979023,2.91925357516568,3.86492726852921,0.398709600334548,0.342553318597288,0.258737081068164
"505","SP1",2023-11-03,"HomeTeam","Las Palmas","H",2,1,5.56,3.69,1.72,0.968753651198032,0.0312463488019679,5.73933320728556,3.8090179019575,1.77547717923222,0.174236268201085,0.262534864823315,0.5632288669756
"506","SP1",2023-11-03,"AwayTeam","Ath Madrid","H",2,1,5.56,3.69,1.72,0.968753651198032,0.0312463488019679,5.73933320728556,3.8090179019575,1.77547717923222,0.174236268201085,0.262534864823315,0.5632288669756
"507","SP2",2023-11-03,"HomeTeam","Espanol","D",2,2,2.51,3.27,3.09,0.972912777784171,0.0270872222158286,2.57988183248716,3.36104127180598,3.17602982565152,0.387614652503654,0.297526843359074,0.314858504137272
"508","SP2",2023-11-03,"AwayTeam","Eibar","D",2,2,2.51,3.27,3.09,0.972912777784171,0.0270872222158286,2.57988183248716,3.36104127180598,3.17602982565152,0.387614652503654,0.297526843359074,0.314858504137272
"509","SP1",2023-11-04,"HomeTeam","Betis","H",2,0,1.9,3.45,4.68,0.971018896591017,0.028981103408983,1.95670754366407,3.5529689608637,4.81967963386728,0.511062577153167,0.281454752635077,0.207482670211756
"510","SP1",2023-11-04,"AwayTeam","Mallorca","H",2,0,1.9,3.45,4.68,0.971018896591017,0.028981103408983,1.95670754366407,3.5529689608637,4.81967963386728,0.511062577153167,0.281454752635077,0.207482670211756
"511","SP1",2023-11-04,"HomeTeam","Celta","D",1,1,2.41,3.41,3.13,0.973063927337931,0.0269360726620691,2.4767129191534,3.50439462834568,3.21664374977184,0.403760965700386,0.285355990421681,0.310883043877933
"512","SP1",2023-11-04,"AwayTeam","Sevilla","D",1,1,2.41,3.41,3.13,0.973063927337931,0.0269360726620691,2.4767129191534,3.50439462834568,3.21664374977184,0.403760965700386,0.285355990421681,0.310883043877933
"513","SP1",2023-11-04,"HomeTeam","Osasuna","A",2,4,2.99,3.31,2.56,0.973531656221542,0.0264683437784583,3.07129201283988,3.39999216137124,2.62960118825087,0.325595871646001,0.29411832514246,0.38028580321154
"514","SP1",2023-11-04,"AwayTeam","Girona","A",2,4,2.99,3.31,2.56,0.973531656221542,0.0264683437784583,3.07129201283988,3.39999216137124,2.62960118825087,0.325595871646001,0.29411832514246,0.38028580321154
"515","SP1",2023-11-04,"HomeTeam","Sociedad","A",0,1,3.38,3.29,2.33,0.971823054389696,0.0281769456103039,3.47799939992434,3.38538994844706,2.39755579935613,0.287521613724762,0.295386946623008,0.41709143965223
"516","SP1",2023-11-04,"AwayTeam","Barcelona","A",0,1,3.38,3.29,2.33,0.971823054389696,0.0281769456103039,3.47799939992434,3.38538994844706,2.39755579935613,0.287521613724762,0.295386946623008,0.41709143965223
"517","SP2",2023-11-04,"HomeTeam","Albacete","D",1,1,2.16,3.3,3.82,0.97297714506239,0.0270228549376098,2.21999048072347,3.39165212332752,3.92609427609428,0.450452381973329,0.294841559109815,0.254706058916856
"518","SP2",2023-11-04,"AwayTeam","Elche","D",1,1,2.16,3.3,3.82,0.97297714506239,0.0270228549376098,2.21999048072347,3.39165212332752,3.92609427609428,0.450452381973329,0.294841559109815,0.254706058916856
"519","SP2",2023-11-04,"HomeTeam","Levante","D",2,2,1.9,3.53,4.52,0.970081854428395,0.0299181455716051,1.95859760836321,3.63886818816954,4.65940062621142,0.510569397067576,0.274810723634106,0.214619879298317
"520","SP2",2023-11-04,"AwayTeam","Mirandes","D",2,2,1.9,3.53,4.52,0.970081854428395,0.0299181455716051,1.95859760836321,3.63886818816954,4.65940062621142,0.510569397067576,0.274810723634106,0.214619879298317
"521","SP2",2023-11-04,"HomeTeam","Valladolid","H",2,0,2.26,3.03,3.91,0.972511613885085,0.0274883861149148,2.32387970254826,3.11564402598284,4.02051753847951,0.43031487340048,0.320960928674946,0.248724197924574
"522","SP2",2023-11-04,"AwayTeam","Tenerife","H",2,0,2.26,3.03,3.91,0.972511613885085,0.0274883861149148,2.32387970254826,3.11564402598284,4.02051753847951,0.43031487340048,0.320960928674946,0.248724197924574
"523","SP2",2023-11-04,"HomeTeam","Villarreal B","A",0,3,3.18,3.37,2.4,0.972887587662559,0.0271124123374413,3.26862017804154,3.46391509433962,2.4668831532389,0.305939492975647,0.28869067883162,0.405369828192733
"524","SP2",2023-11-04,"AwayTeam","Sp Gijon","A",0,3,3.18,3.37,2.4,0.972887587662559,0.0271124123374413,3.26862017804154,3.46391509433962,2.4668831532389,0.305939492975647,0.28869067883162,0.405369828192733
"525","SP1",2023-11-05,"HomeTeam","Alaves","H",1,0,1.77,3.77,4.99,0.970285452028848,0.0297145479711518,1.82420544005783,3.88545452486895,5.14281646660373,0.548183871202739,0.25737014642675,0.194445982370511
"526","SP1",2023-11-05,"AwayTeam","Almeria","H",1,0,1.77,3.77,4.99,0.970285452028848,0.0297145479711518,1.82420544005783,3.88545452486895,5.14281646660373,0.548183871202739,0.25737014642675,0.194445982370511
"527","SP1",2023-11-05,"HomeTeam","Real Madrid","D",0,0,1.22,6.9,13.8,0.96426116838488,0.0357388316151204,1.26521739130435,7.15573770491803,14.3114754098361,0.790378006872852,0.139747995418098,0.0698739977090492
"528","SP1",2023-11-05,"AwayTeam","Vallecano","D",0,0,1.22,6.9,13.8,0.96426116838488,0.0357388316151204,1.26521739130435,7.15573770491803,14.3114754098361,0.790378006872852,0.139747995418098,0.0698739977090492
"529","SP1",2023-11-05,"HomeTeam","Valencia","H",1,0,1.67,4.15,5.29,0.972004173040673,0.0279958269593275,1.71809961965063,4.26952899494018,5.44236346583941,0.582038426970463,0.234217873021849,0.183743700007689
"530","SP1",2023-11-05,"AwayTeam","Granada","H",1,0,1.67,4.15,5.29,0.972004173040673,0.0279958269593275,1.71809961965063,4.26952899494018,5.44236346583941,0.582038426970463,0.234217873021849,0.183743700007689
"531","SP1",2023-11-05,"HomeTeam","Villarreal","A",2,3,3.82,3.94,1.95,0.972376982917423,0.0276230170825771,3.92851750618248,4.05192643307827,2.0053950620565,0.254548948407702,0.246796188557722,0.498654863034576
"532","SP1",2023-11-05,"AwayTeam","Ath Bilbao","A",2,3,3.82,3.94,1.95,0.972376982917423,0.0276230170825771,3.92851750618248,4.05192643307827,2.0053950620565,0.254548948407702,0.246796188557722,0.498654863034576
"533","SP2",2023-11-05,"HomeTeam","Alcorcon","H",3,1,2.63,3.22,2.97,0.973247868870221,0.0267521311297794,2.70229207185729,3.30850968493554,3.05163781498713,0.370056223905027,0.302250890953485,0.327692885141488
"534","SP2",2023-11-05,"AwayTeam","Santander","H",3,1,2.63,3.22,2.97,0.973247868870221,0.0267521311297794,2.70229207185729,3.30850968493554,3.05163781498713,0.370056223905027,0.302250890953485,0.327692885141488
"535","SP2",2023-11-05,"HomeTeam","Amorebieta","A",0,1,2.92,2.94,2.9,0.973302891456988,0.0266971085430122,3.0000938306357,3.02064241851677,2.97954524275464,0.333322908033215,0.331055405257479,0.335621686709306
"536","SP2",2023-11-05,"AwayTeam","Huesca","A",0,1,2.92,2.94,2.9,0.973302891456988,0.0266971085430122,3.0000938306357,3.02064241851677,2.97954524275464,0.333322908033215,0.331055405257479,0.335621686709306
"537","SP2",2023-11-05,"HomeTeam","Cartagena","A",0,3,2.98,3.03,2.76,0.972836163485186,0.0271638365148144,3.06320849476252,3.11460461044645,2.83706558575321,0.326455088417848,0.321068040754187,0.352476870827966
"538","SP2",2023-11-05,"AwayTeam","Leganes","A",0,3,2.98,3.03,2.76,0.972836163485186,0.0271638365148144,3.06320849476252,3.11460461044645,2.83706558575321,0.326455088417848,0.321068040754187,0.352476870827966
"539","SP2",2023-11-05,"HomeTeam","Eldense","H",2,0,2.27,3.04,3.87,0.972881951148431,0.0271180488515692,2.33327383380933,3.12473676422042,3.97787213076745,0.428582357334111,0.320026957614615,0.251390685051274
"540","SP2",2023-11-05,"AwayTeam","Burgos","H",2,0,2.27,3.04,3.87,0.972881951148431,0.0271180488515692,2.33327383380933,3.12473676422042,3.97787213076745,0.428582357334111,0.320026957614615,0.251390685051274
"541","SP2",2023-11-05,"HomeTeam","Ferrol","H",1,0,2.23,3.15,3.83,0.973721765189161,0.0262782348108389,2.29018193874591,3.23501036190565,3.93336180511068,0.43664653147496,0.309118020694972,0.254235447830068
"542","SP2",2023-11-05,"AwayTeam","Andorra","H",1,0,2.23,3.15,3.83,0.973721765189161,0.0262782348108389,2.29018193874591,3.23501036190565,3.93336180511068,0.43664653147496,0.309118020694972,0.254235447830068
"543","SP1",2023-11-06,"HomeTeam","Getafe","H",1,0,2.08,3.1,4.41,0.970772707720249,0.0292272922797506,2.14262307073367,3.1933324611896,4.5427729528536,0.466717647942428,0.313152486361371,0.220129865696202
"544","SP1",2023-11-06,"AwayTeam","Cadiz","H",1,0,2.08,3.1,4.41,0.970772707720249,0.0292272922797506,2.14262307073367,3.1933324611896,4.5427729528536,0.466717647942428,0.313152486361371,0.220129865696202
"545","SP2",2023-11-06,"HomeTeam","Zaragoza","D",0,0,2.79,2.8,3.21,0.973622354489651,0.026377645510349,2.86558744993324,2.87585837269286,3.29696620583717,0.348968585838585,0.34772226946059,0.303309144700826
"546","SP2",2023-11-06,"AwayTeam","Oviedo","D",0,0,2.79,2.8,3.21,0.973622354489651,0.026377645510349,2.86558744993324,2.87585837269286,3.29696620583717,0.348968585838585,0.34772226946059,0.303309144700826
"547","SP1",2023-11-10,"HomeTeam","Ath Bilbao","H",4,3,1.71,4.04,5.04,0.970183569064099,0.0298164309359013,1.76255304101839,4.16416040100251,5.19489317352788,0.567358812318186,0.240144447788143,0.19249673989367
"548","SP1",2023-11-10,"AwayTeam","Celta","H",4,3,1.71,4.04,5.04,0.970183569064099,0.0298164309359013,1.76255304101839,4.16416040100251,5.19489317352788,0.567358812318186,0.240144447788143,0.19249673989367
"549","SP2",2023-11-10,"HomeTeam","Leganes","H",2,1,1.9,3.23,5.17,0.971499214613997,0.0285007853860026,1.95574012970759,3.3247582205029,5.32167182662539,0.51131537611263,0.300773750654488,0.187910873232881
"550","SP2",2023-11-10,"AwayTeam","Levante","H",2,1,1.9,3.23,5.17,0.971499214613997,0.0285007853860026,1.95574012970759,3.3247582205029,5.32167182662539,0.51131537611263,0.300773750654488,0.187910873232881
"551","SP1",2023-11-11,"HomeTeam","Almeria","A",1,3,4.38,3.8,1.85,0.96898385624823,0.0310161437517702,4.52019914651494,3.92163396272985,1.9092165344869,0.221229190924253,0.254995751644271,0.523775057431476
"552","SP1",2023-11-11,"AwayTeam","Sociedad","A",1,3,4.38,3.8,1.85,0.96898385624823,0.0310161437517702,4.52019914651494,3.92163396272985,1.9092165344869,0.221229190924253,0.254995751644271,0.523775057431476
"553","SP1",2023-11-11,"HomeTeam","Granada","D",1,1,2.49,3.19,3.19,0.972227662178702,0.0277723378212975,2.56112852664577,3.28112449799197,3.28112449799197,0.390452876376989,0.304773561811506,0.304773561811506
"554","SP1",2023-11-11,"AwayTeam","Getafe","D",1,1,2.49,3.19,3.19,0.972227662178702,0.0277723378212975,2.56112852664577,3.28112449799197,3.28112449799197,0.390452876376989,0.304773561811506,0.304773561811506
"555","SP1",2023-11-11,"HomeTeam","Osasuna","D",1,1,1.97,3.36,4.47,0.971867443166701,0.028132556833299,2.02702540747843,3.45726160869417,4.59939267585207,0.493333727495787,0.289246262847232,0.21742000965698
"556","SP1",2023-11-11,"AwayTeam","Las Palmas","D",1,1,1.97,3.36,4.47,0.971867443166701,0.028132556833299,2.02702540747843,3.45726160869417,4.59939267585207,0.493333727495787,0.289246262847232,0.21742000965698
"557","SP1",2023-11-11,"HomeTeam","Real Madrid","H",5,1,1.32,5.79,10.11,0.971629112391213,0.0283708876087866,1.35854307283098,5.95906393309954,10.4052048987282,0.736082660902434,0.167811591086565,0.0961057480110003
"558","SP1",2023-11-11,"AwayTeam","Valencia","H",5,1,1.32,5.79,10.11,0.971629112391213,0.0283708876087866,1.35854307283098,5.95906393309954,10.4052048987282,0.736082660902434,0.167811591086565,0.0961057480110003
"559","SP1",2023-11-11,"HomeTeam","Vallecano","A",1,2,2.99,3.5,2.46,0.974026121435922,0.0259738785640776,3.06973286875726,3.59333278951519,2.52559961777353,0.325761244627399,0.278293177553121,0.395945577819481
"560","SP1",2023-11-11,"AwayTeam","Girona","A",1,2,2.99,3.5,2.46,0.974026121435922,0.0259738785640776,3.06973286875726,3.59333278951519,2.52559961777353,0.325761244627399,0.278293177553121,0.395945577819481
"561","SP2",2023-11-11,"HomeTeam","Elche","H",2,0,2.07,3.26,4.19,0.972286208473603,0.0277137915263971,2.1290027380412,3.35292218648035,4.30943066299161,0.469703482354398,0.298247303212762,0.232049214432841
"562","SP2",2023-11-11,"AwayTeam","Zaragoza","H",2,0,2.07,3.26,4.19,0.972286208473603,0.0277137915263971,2.1290027380412,3.35292218648035,4.30943066299161,0.469703482354398,0.298247303212762,0.232049214432841
"563","SP2",2023-11-11,"HomeTeam","Mirandes","A",1,2,2.48,3.04,3.39,0.973559652597897,0.0264403474021028,2.54735289551312,3.12256161385479,3.48206706281834,0.392564376047539,0.320249885722993,0.287185738229468
"564","SP2",2023-11-11,"AwayTeam","Ferrol","A",1,2,2.48,3.04,3.39,0.973559652597897,0.0264403474021028,2.54735289551312,3.12256161385479,3.48206706281834,0.392564376047539,0.320249885722993,0.287185738229468
"565","SP2",2023-11-11,"HomeTeam","Santander","A",2,3,2.66,3.13,3.01,0.973089614307847,0.026910385692153,2.73356118582361,3.21655883895786,3.09324028922146,0.365823163273627,0.310891250577587,0.323285586148786
"566","SP2",2023-11-11,"AwayTeam","Valladolid","A",2,3,2.66,3.13,3.01,0.973089614307847,0.026910385692153,2.73356118582361,3.21655883895786,3.09324028922146,0.365823163273627,0.310891250577587,0.323285586148786
"567","SP2",2023-11-11,"HomeTeam","Sp Gijon","D",1,1,1.42,4.48,9.52,0.968540211355902,0.0314597886440983,1.46612394957983,4.62551781275891,9.82922535211268,0.682070571377396,0.216192011463371,0.101737417159233
"568","SP2",2023-11-11,"AwayTeam","Amorebieta","D",1,1,1.42,4.48,9.52,0.968540211355902,0.0314597886440983,1.46612394957983,4.62551781275891,9.82922535211268,0.682070571377396,0.216192011463371,0.101737417159233
"569","SP1",2023-11-12,"HomeTeam","Ath Madrid","H",3,1,1.34,5.81,8.91,0.970290536410419,0.0297094635895814,1.38102965010596,5.98789721426537,9.18281655406273,0.724097415231656,0.167003534666165,0.108899050102179
"570","SP1",2023-11-12,"AwayTeam","Villarreal","H",3,1,1.34,5.81,8.91,0.970290536410419,0.0297094635895814,1.38102965010596,5.98789721426537,9.18281655406273,0.724097415231656,0.167003534666165,0.108899050102179
"571","SP1",2023-11-12,"HomeTeam","Barcelona","H",2,1,1.25,6.51,12.09,0.96495028733011,0.0350497126698897,1.29540352120997,6.74646153846154,12.5291428571429,0.771960229864088,0.148225850588343,0.0798139195475691
"572","SP1",2023-11-12,"AwayTeam","Alaves","H",2,1,1.25,6.51,12.09,0.96495028733011,0.0350497126698897,1.29540352120997,6.74646153846154,12.5291428571429,0.771960229864088,0.148225850588343,0.0798139195475691
